players, 178
rules, 124
game, 103
roll, 98
damage, 81
combat, 71
make, 70
dm, 69
something, 67
check, 67
encounter, 66
hit, 66
games, 66
skill, 64
time, 62
twitter, 62
5e, 61
action, 61
player, 61
might, 60
people, 53
mount, 53
play, 51
creature, 51
level, 51
failure, 50
healing, 49
help, 48
find, 48
great, 48
things, 48
think, 48
take, 48
attack, 45
need, 45
also, 45
bit, 44
using, 43
rule, 43
much, 42
party, 42
means, 41
well, 41
see, 41
would, 41
group, 41
die, 41
trap, 41
